com.samsung.health.step_count
time_offset,end_time,speed,pkg_name,start_time,count,sample_position_type,calorie,distance,datauuid,deviceuuid,update_time,create_time
-14400000,2016-07-24 15:08:00.000,1.6944444,com.sec.android.app.shealth,2016-07-24 15:07:00.000,9,,0.43,7.69,5cccbdc9-c48b-494e-acd7-97b4842d3be9,SD5aE64hxX,2016-07-24 15:15:02.334,2016-07-24 15:15:02.334
-14400000,2016-07-24 15:09:00.000,1.8055557,com.sec.android.app.shealth,2016-07-24 15:08:00.000,69,,3.78,59.32,d63b9274-da27-4f1d-9648-945f8c8d64d8,SD5aE64hxX,2016-07-24 15:15:02.515,2016-07-24 15:15:02.515
-14400000,2016-07-24 15:10:00.000,2.6666667,com.sec.android.app.shealth,2016-07-24 15:09:00.000,66,,4.77,72.42,9f96932d-ac46-4b74-81b5-ab428bbd2659,SD5aE64hxX,2016-07-24 15:15:02.772,2016-07-24 15:15:02.772
-14400000,2016-07-24 15:11:00.000,1.8055556,com.sec.android.app.shealth,2016-07-24 15:10:00.000,29,,1.71,25.11,bdc39e74-3e6b-4f71-accf-618ecd1233eb,SD5aE64hxX,2016-07-24 15:15:02.879,2016-07-24 15:15:02.879
-14400000,2016-07-24 15:12:00.000,2.3055556,com.sec.android.app.shealth,2016-07-24 15:11:00.000,15,,0.93,14.85,6dfc23d8-f720-480f-8bdb-dc34d0ad0641,SD5aE64hxX,2016-07-24 15:15:02.978,2016-07-24 15:15:02.978
-14400000,2016-07-24 15:13:00.000,2.1944444,com.sec.android.app.shealth,2016-07-24 15:12:00.000,59,,3.31,53.29,8b4548ce-75f1-4178-bc1e-2126b01fceb0,SD5aE64hxX,2016-07-24 15:15:03.067,2016-07-24 15:15:03.067
-14400000,2016-07-24 15:18:00.000,2.0,com.sec.android.app.shealth,2016-07-24 15:17:00.000,75,,3.98,66.0,2d47ae48-6a2b-4fc9-90ba-7c31a1b4d9c4,SD5aE64hxX,2016-07-24 15:35:00.674,2016-07-24 15:35:00.674
-14400000,2016-07-24 15:19:00.000,2.3611112,com.sec.android.app.shealth,2016-07-24 15:18:00.000,33,,1.67,27.59,76276218-9cdb-42ec-86e0-af1865da4cd6,SD5aE64hxX,2016-07-24 15:35:00.832,2016-07-24 15:35:00.832
-14400000,2016-07-24 15:20:00.000,2.0000002,com.sec.android.app.shealth,2016-07-24 15:19:00.000,51,,2.77,39.86,4a3578dd-327b-462b-a88f-1ac4218d5459,SD5aE64hxX,2016-07-24 15:35:01.168,2016-07-24 15:35:01.168
-14400000,2016-07-24 15:21:00.000,2.1111112,com.sec.android.app.shealth,2016-07-24 15:20:00.000,60,,3.94,56.37,31b46fb3-c635-404d-a7c4-8d8f507ef88a,SD5aE64hxX,2016-07-24 15:35:01.336,2016-07-24 15:35:01.336
-14400000,2016-07-24 15:22:00.000,2.8055556,com.sec.android.app.shealth,2016-07-24 15:21:00.000,60,,4.64,61.38,761291fa-ff51-4f38-b9cb-802733b9c8eb,SD5aE64hxX,2016-07-24 15:35:01.592,2016-07-24 15:35:01.592
-14400000,2016-07-24 15:23:00.000,2.2222223,com.sec.android.app.shealth,2016-07-24 15:22:00.000,98,,5.87,89.83,7bededc3-2de5-489f-8bc2-f259e9f4bd2d,SD5aE64hxX,2016-07-24 15:35:01.715,2016-07-24 15:35:01.715
-14400000,2016-07-24 15:24:00.000,2.0833333,com.sec.android.app.shealth,2016-07-24 15:23:00.000,47,,2.6,41.95,1fcb2570-f0ab-4b70-852b-67ff2fb5fba6,SD5aE64hxX,2016-07-24 15:35:01.837,2016-07-24 15:35:01.837
-14400000,2016-07-24 15:25:00.000,2.3888888,com.sec.android.app.shealth,2016-07-24 15:24:00.000,22,,1.43,20.5,68dbf415-ba14-4cf7-98bc-fd4adfc6805f,SD5aE64hxX,2016-07-24 15:35:01.968,2016-07-24 15:35:01.968
-14400000,2016-07-24 15:26:00.000,1.5277778,com.sec.android.app.shealth,2016-07-24 15:25:00.000,105,,5.21,84.03,e54b4899-fb34-419a-9b8e-e3f00c9e3681,SD5aE64hxX,2016-07-24 15:35:02.056,2016-07-24 15:35:02.056
-14400000,2016-07-24 15:27:00.000,1.6388887,com.sec.android.app.shealth,2016-07-24 15:26:00.000,77,,4.32,65.01,82d1b1b7-5ff5-4fb4-9ac4-cb77c9f0737a,SD5aE64hxX,2016-07-24 15:35:02.141,2016-07-24 15:35:02.141
-14400000,2016-07-24 15:28:00.000,1.6944444,com.sec.android.app.shealth,2016-07-24 15:27:00.000,110,,5.77,85.7,f8a0fa87-fdd7-40b8-8986-b6c1ce519c80,SD5aE64hxX,2016-07-24 15:35:02.225,2016-07-24 15:35:02.225
-14400000,2016-07-24 15:29:00.000,1.5,com.sec.android.app.shealth,2016-07-24 15:28:00.000,19,,0.89,15.33,2964a989-bd74-49a1-8899-6cc4ae885247,SD5aE64hxX,2016-07-24 15:35:02.301,2016-07-24 15:35:02.301
-14400000,2016-07-24 15:38:00.000,1.75,com.sec.android.app.shealth,2016-07-24 15:37:00.000,27,,1.27,21.88,18fb39aa-9fde-4691-9f19-ceda0bbe1ccd,SD5aE64hxX,2016-07-24 15:39:21.053,2016-07-24 15:39:21.053
-14400000,2016-07-24 15:39:00.000,1.6388888,com.sec.android.app.shealth,2016-07-24 15:38:00.000,1,,0.05,0.81,d2450648-9a3a-4ca0-bbd1-8a100ac81e88,SD5aE64hxX,2016-07-24 15:39:21.222,2016-07-24 15:39:21.222
-14400000,2016-07-24 15:40:00.000,2.286925,com.sec.android.app.shealth,2016-07-24 15:39:00.000,63,,5.0099998,57.8,1f75e95f-c9e2-43cf-906a-e6fd650bdb67,SD5aE64hxX,2016-07-24 15:40:06.447,2016-07-24 15:39:21.341
-14400000,2016-07-24 15:41:00.000,2.762973,com.sec.android.app.shealth,2016-07-24 15:40:00.000,9,,0.44,8.45,e1fc2a05-836b-446b-a087-21e677773b47,SD5aE64hxX,2016-07-24 15:40:11.712,2016-07-24 15:40:11.082
-14400000,2016-07-24 15:58:00.000,1.8333334,com.sec.android.app.shealth,2016-07-24 15:57:00.000,19,,0.89,14.92,e115d10b-148a-48ed-bc47-e2675e0a9631,SD5aE64hxX,2016-07-24 15:59:05.715,2016-07-24 15:59:05.715
-14400000,2016-07-24 15:59:00.000,1.7777778,com.sec.android.app.shealth,2016-07-24 15:58:00.000,21,,1.0,17.93,2e3de253-d6c1-43d1-a1c6-5486113a921f,SD5aE64hxX,2016-07-24 15:59:05.853,2016-07-24 15:59:05.853
-14400000,2016-07-24 16:00:00.000,2.182999,com.sec.android.app.shealth,2016-07-24 15:59:00.000,74,,4.450001,66.090004,5d9b33a0-823d-47d6-8c36-2a987dd3f82e,SD5aE64hxX,2016-07-24 15:59:53.331,2016-07-24 15:59:05.994
-14400000,2016-07-24 16:03:00.000,2.9166667,com.sec.android.app.shealth,2016-07-24 16:02:00.000,7,,0.8,9.01,0074ea52-a60e-4d3b-a99d-5cebc98ba916,SD5aE64hxX,2016-07-24 16:04:14.844,2016-07-24 16:04:14.844
-14400000,2016-07-24 16:51:00.000,1.3888888,com.sec.android.app.shealth,2016-07-24 16:50:00.000,48,,2.5,37.44,4e9ca5f4-6a74-4188-ac26-e0e14c5a954a,SD5aE64hxX,2016-07-24 16:51:37.556,2016-07-24 16:51:37.556
-14400000,2016-07-24 16:52:00.000,1.9394583,com.sec.android.app.shealth,2016-07-24 16:51:00.000,20,,0.9700001,16.730001,9d6253f0-2d24-460e-a9fd-656bf53b0526,SD5aE64hxX,2016-07-24 16:51:58.437,2016-07-24 16:51:49.854
-14400000,2016-07-24 17:43:00.000,1.3247653,com.sec.android.app.shealth,2016-07-24 17:42:00.000,14,,0.6,10.470001,953070b5-32a2-4e97-8919-92dfb87fd207,SD5aE64hxX,2016-07-24 17:42:37.967,2016-07-24 17:42:35.072
-14400000,2016-07-24 18:31:00.000,2.6111112,com.sec.android.app.shealth,2016-07-24 18:30:00.000,37,,2.4,35.09,e2f1a458-2396-433b-a7e2-555708141aca,SD5aE64hxX,2016-07-24 18:31:42.278,2016-07-24 18:31:42.278
-14400000,2016-07-24 18:32:00.000,1.5610096,com.sec.android.app.shealth,2016-07-24 18:31:00.000,50,,2.36,40.26,884ea4f8-f812-4d32-bee3-2f57a3bff63f,SD5aE64hxX,2016-07-24 18:31:46.689,2016-07-24 18:31:42.453
-14400000,2016-07-24 19:15:00.000,1.7906363,com.sec.android.app.shealth,2016-07-24 19:14:00.000,48,,3.3600004,33.970005,80da7b5a-54fa-4b88-9892-5a4decfe11a2,SD5aE64hxX,2016-07-24 19:15:00.717,2016-07-24 19:14:31.039
-14400000,2016-07-24 19:27:00.000,3.0047562,com.sec.android.app.shealth,2016-07-24 19:26:00.000,52,,3.25,52.379997,b7ebe214-2e60-4ccb-be4f-35c707a57827,SD5aE64hxX,2016-07-24 19:35:00.863,2016-07-24 19:26:27.419
-14400000,2016-07-24 20:10:00.000,2.3888888,com.sec.android.app.shealth,2016-07-24 20:09:00.000,32,,2.06,28.98,f98f16b3-e7b6-4fcb-9c4f-21e8e22c3dec,SD5aE64hxX,2016-07-24 20:10:10.690,2016-07-24 20:10:10.690
-14400000,2016-07-24 20:11:00.000,1.9262984,com.sec.android.app.shealth,2016-07-24 20:10:00.000,55,,2.77,46.61,88bbb34c-c19a-44dc-a63f-fcbd86f60ff8,SD5aE64hxX,2016-07-24 20:11:06.926,2016-07-24 20:10:14.842
-14400000,2016-07-24 20:21:00.000,1.6388888,com.sec.android.app.shealth,2016-07-24 20:20:00.000,80,,4.32,66.62,9a93c422-664a-47f6-998e-ecd7ba9a63ff,SD5aE64hxX,2016-07-24 20:35:00.514,2016-07-24 20:35:00.514
-14400000,2016-07-24 20:57:00.000,1.7222222,com.sec.android.app.shealth,2016-07-24 20:56:00.000,43,,2.64,39.59,201e22af-0a83-46bc-9a73-4c40f5598412,SD5aE64hxX,2016-07-24 21:01:22.839,2016-07-24 21:01:22.839
-14400000,2016-07-24 20:58:00.000,1.5,com.sec.android.app.shealth,2016-07-24 20:57:00.000,24,,1.14,18.64,727a0297-1ab4-4b37-b501-35d50948450d,SD5aE64hxX,2016-07-24 21:01:23.391,2016-07-24 21:01:23.391
-14400000,2016-07-24 21:08:00.000,1.75,com.sec.android.app.shealth,2016-07-24 21:07:00.000,28,,2.29,30.26,bc194f24-7e60-4e33-a9fe-b379563c7641,SD5aE64hxX,2016-07-24 21:12:06.247,2016-07-24 21:12:06.247
-14400000,2016-07-24 21:09:00.000,1.75,com.sec.android.app.shealth,2016-07-24 21:08:00.000,48,,2.18,35.81,b8ef1970-23d6-44b9-a9cd-be4fc67a6731,SD5aE64hxX,2016-07-24 21:12:06.458,2016-07-24 21:12:06.458
-14400000,2016-07-24 21:10:00.000,1.6111112,com.sec.android.app.shealth,2016-07-24 21:09:00.000,14,,0.64,11.43,4b4f50be-436e-4cdc-84ee-e97529edaff6,SD5aE64hxX,2016-07-24 21:12:06.590,2016-07-24 21:12:06.590
-14400000,2016-07-24 21:13:00.000,2.1146953,com.sec.android.app.shealth,2016-07-24 21:12:00.000,30,,1.8600001,27.14,20c4095a-d8aa-484e-aba4-9c26dd39b64c,SD5aE64hxX,2016-07-24 21:15:00.824,2016-07-24 21:12:07.050
-14400000,2016-07-24 21:27:00.000,0.0,com.sec.android.app.shealth,2016-07-24 21:26:00.000,0,,0.0,0.0,7e39d657-ad48-410c-80e2-ce1ba2679a0c,SD5aE64hxX,2016-07-24 21:26:06.477,2016-07-24 21:26:06.477
-14400000,2016-07-24 22:32:00.000,2.0,com.sec.android.app.shealth,2016-07-24 22:31:00.000,12,,0.7,11.25,e86db793-1e19-421c-b3fc-9e01089a9db1,SD5aE64hxX,2016-07-24 22:31:39.955,2016-07-24 22:31:39.955
-14400000,2016-07-24 22:33:00.000,1.8009272,com.sec.android.app.shealth,2016-07-24 22:32:00.000,14,,0.64000005,11.42,507e0d1d-6c6b-499d-8d37-accad3cbc1e1,SD5aE64hxX,2016-07-24 22:32:51.704,2016-07-24 22:32:25.610
-14400000,2016-07-24 22:34:00.000,2.1944444,com.sec.android.app.shealth,2016-07-24 22:33:00.000,7,,0.31,5.98,55eda2a6-e1d1-43f1-a22c-be6ccc471d88,SD5aE64hxX,2016-07-24 22:35:01.069,2016-07-24 22:35:01.069
-14400000,2016-07-24 22:54:00.000,6.944445,com.sec.android.app.shealth,2016-07-24 22:53:00.000,6,,0.88,10.09,12acdd2f-c9c9-4669-9e5d-4884d3fce501,SD5aE64hxX,2016-07-24 22:53:47.405,2016-07-24 22:53:47.405
-14400000,2016-07-24 23:07:00.000,1.8888888,com.sec.android.app.shealth,2016-07-24 23:06:00.000,7,,0.33,5.38,0c894262-d7ae-4612-8515-9fe6b1c23570,SD5aE64hxX,2016-07-24 23:10:31.247,2016-07-24 23:10:31.247
-14400000,2016-07-24 23:08:00.000,1.6388888,com.sec.android.app.shealth,2016-07-24 23:07:00.000,48,,2.33,38.79,55c4012e-7fbb-4c2e-aebe-91797ecccd2c,SD5aE64hxX,2016-07-24 23:10:31.366,2016-07-24 23:10:31.366
-14400000,2016-07-24 23:09:00.000,1.7777778,com.sec.android.app.shealth,2016-07-24 23:08:00.000,33,,2.09,31.86,1fc66e4c-62f1-4ddc-852a-930b87375364,SD5aE64hxX,2016-07-24 23:10:31.452,2016-07-24 23:10:31.452
-14400000,2016-07-24 23:10:00.000,1.4166666,com.sec.android.app.shealth,2016-07-24 23:09:00.000,15,,0.72,11.91,c9e9e939-71e7-4a14-a48f-793c3de9067f,SD5aE64hxX,2016-07-24 23:10:31.586,2016-07-24 23:10:31.586
-14400000,2016-07-24 23:11:00.000,1.748617,com.sec.android.app.shealth,2016-07-24 23:10:00.000,72,,3.7999997,59.42,112c047f-465f-4f4a-a528-0ca91b3c4993,SD5aE64hxX,2016-07-24 23:11:04.315,2016-07-24 23:10:31.804
